LabelName;LabelNumber;LED_394_SEN_AVG;LED_445_SEN_AVG;LED_490_SEN_AVG;LED_558_SEN_AVG;LED_592_SEN_AVG;LED_640_SEN_AVG;LED_700_SEN_AVG;LED_750_SEN_AVG;LED_800_SEN_AVG;LED_849_SEN_AVG;LED_890_SEN_AVG;LED_950_SEN_AVG
data#2025-2-20_11-57-59_dataFiles#S0027_20250220_002829_46_95e566a7-dccd-419e-acd6-a896b7ce65a9_R0003;81;-3.5625;0;0.071295175514438868802;-5.1546975546975550841;0.024721681046479263705;0.091270248009517704335;-0.036239782016348774663;0.34809206541490006481;0.38150001199817629161;0.338944442810505564;0.24218201458277072158;0.25043215211754532579
data#2025-2-20_11-57-59_dataFiles#S0028_20250220_002936_28_97ddc7b7-f699-4792-91e2-b353797591eb_R0001;82;-27.692499999999999005;0;0.10591604703441119539;0.13326898326898325986;0.12704564430837739231;0.11564839388670265785;0.28244020587344836892;0.46249242883101149282;0.42232860605188010661;0.39926766859798240583;0.46691871455576555716;0.47848962834917885267
data#2025-2-20_11-57-59_dataFiles#S0028_20250220_002936_28_97ddc7b7-f699-4792-91e2-b353797591eb_R0002;83;-10.972500000000000142;0;0.091049195919073136474;-4.7365508365508359745;0.073107431116058996245;0.11220554589548824287;0.085422343324250679664;0.46119018776499087764;0.42419792191586874752;0.40418517102438161759;0.3501890359168242095;0.38940146931719965551
data#2025-2-20_11-57-59_dataFiles#S0028_20250220_002936_28_97ddc7b7-f699-4792-91e2-b353797591eb_R0003;84;-9.3100000000000004974;0;0.084806761196610749853;-5.0226512226512225467;0.059622877817979404169;0.099616546170037512109;0.05407205570693308927;0.45884312537855842518;0.44521632711827802131;0.41924502220522924523;0.33915743991358354714;0.38180639585133968605
data#2025-2-20_11-57-59_dataFiles#S0029_20250220_003048_10_d879c5ec-7ae1-4659-a92c-a7a7e986a4c5_R0001;85;-13.014999999999998792;0;0.092034843506830360527;-4.1704633204633205779;0.071653214583913160673;0.1015640157408254779;0.29452013321223130538;0.38827983040581465213;0.29140810596789284981;0.26498632393164905929;0.19625978935997839825;0.34157303370786512575
data#2025-2-20_11-57-59_dataFiles#S0029_20250220_003048_10_d879c5ec-7ae1-4659-a92c-a7a7e986a4c5_R0002;86;-22.514999999999997016;0;0.088461871001210445886;-3.913706563706563557;0.079585304759254099638;0.11309234007504347097;0.075930971843778380381;0.41178073894609323879;0.38744990761404263235;0.36610246757448305921;0.37404806913313526362;0.36846369922212612869
data#2025-2-20_11-57-59_dataFiles#S0029_20250220_003048_10_d879c5ec-7ae1-4659-a92c-a7a7e986a4c5_R0003;87;-8.1225000000000004974;0;0.087722635310392524377;-5.0801158301158295671;0.046799332034511545442;0.084610597602269604911;-0.023872237359975775894;0.20934282253179889444;0.151368991913229195;0.14931325549248550266;0.067472319740750741346;0.21512532411408813449
data#2025-2-20_11-57-59_dataFiles#S0030_20250220_003155_17_79e2e811-3d02-4eae-822d-c9ee86d47ae4_R0001;88;-8.6925000000000007816;0;0.064477779699118095702;-5.0079794079794073269;0.038206234344558859251;0.075794820170220544853;0.018982742960944595095;0.35268019382192611344;0.26218294819187482059;0.26789212081997582082;0.23038077234674586569;0.31817199654278305321
data#2025-2-20_11-57-59_dataFiles#S0030_20250220_003155_17_79e2e811-3d02-4eae-822d-c9ee86d47ae4_R0002;89;-11.210000000000000853;0;0.075155628566487969744;-5.2170527670527668818;0.034504592262733085883;0.080924315914706682062;0.0094913714804722975477;0.34603270745003028575;0.23924963405562352237;0.23626363930472632502;0.16829597623548472884;0.298671132238547965
data#2025-2-20_11-57-59_dataFiles#S0030_20250220_003155_17_79e2e811-3d02-4eae-822d-c9ee86d47ae4_R0003;90;-9.2149999999999980815;0;0.063943887255749606857;-5.1473616473616470302;0.034636793765655433941;0.074334217992129580921;0.01524371783227368958;0.39909145972138099223;0.33852854366136347908;0.32452721978765325384;0.26655414528760462689;0.33459377700950732049
